Num,Nom,X,Y,Surface,Altitude
Q6142910,Le Gave d ossau a oloron-Sainte-Marie [oloron-Sainte-croix],"361173","1802909",488.000000000000000,"215"
O1464010,Le Blau a chalabre,"573783","1775037",67.000000000000000,"375"
U4014010,La Reyssouze a Montagnat,"828000","2134440",84.400000000000006,"237"
U1235020,La Norges a Genlis,"818337","2252688",264.000000000000000,"196"
U1224020,La Tille a cessey-sur-Tille,"817903","2257400",744.000000000000000,"201"
U4235010,Le Renon a Neuville-les-Dames,"805475","2131990",102.000000000000000,"218"
U4204010,La Veyle a Lent,"821172","2128399",34.000000000000000,"251"
U2722010,Le Doubs a Neublans-abergement,"829497","2218021",7290.000000000000000,"181"
U1084010,L ognon a Pesmes,"844228","2258123",2038.000000000000000,"185"
U1224010,La Tille a arceau [arcelot],"815388","2267613",700.000000000000000,"223"
Y7315010,Le Bevinco a olmeta-di-Tuda [Lancone],"1178637","1759113",53.600000000000001,"209"
Y9315010,Le Fium-alto a Taglio-isolaccio [acitaja],"1187690","1742380",114.000000000000000,"35"
K1383010,La Bourbince a Vitry-en-charollais,"733758","2164997",819.000000000000000,"237"
K1341810,L arroux a Rigny-sur-arroux,"730234","2171909",2277.000000000000000,"237"
A3301010,La Moder a Schweighouse-sur-Moder [aval],"996842","2438573",622.000000000000000,"144"
A3832010,Le Seltzbach a Niederroedern,"1018642","2449140",202.000000000000000,"120"
O3121010,Le Tarn a Montbrun [Pont de Montbrun],"692591","1926545",621.000000000000000,"480"
O3364010,La Dourbie a Nant [Pont de Gardies],"676468","1897287",300.000000000000000,"433"
O7041510,Le Lot a Balsieges [Bramonas],"686700","1943100",465.000000000000000,"663"
O5042510,L aveyron a Palmas [Pont de Manson],"640576","1933147",270.000000000000000,"580"
O3454310,La Muze a Montjaux [Saint-Hippolyte],"646915","1897988",112.000000000000000,"330"
O5055010,Le Serre a coussergues [Resuenhe],"642715","1935107",110.000000000000000,"580"
K4443010,L ardoux a Lailly-en-Val,"548950","2305560",155.000000000000000,"78"
L5223020,Le Vincou a Bellac [2],"498358","2126862",286.000000000000000,"235"
L4033010,La Rozeille a Moutier-Rozeille [aubusson],"587644","2103530",186.000000000000000,"440"
L5134010,La Semme a Droux,"507735","2128547",177.000000000000000,"186"
L4010710,La creuse a Felletin,"586857","2098693",165.000000000000000,"510"
L0563010,La Briance a condat-sur-Vienne [chambon Veyrinas],"514694","2084646",597.000000000000000,"214"
P3264310,Le Roseix a Vars-sur-Roseix,"524962","2029522",58.000000000000000,"115"
H21220XX,La Cure a Marigny-l'Eglise [collage: Iles Menefriers+Crottefou],"722950","2262850",221.000000000000000,"310"
P3234010,La Loyre a Voutezac [Pont de l aumonerie],"527723","2034382",103.000000000000000,"145"
L0813010,La Glane a Saint-Junien [Le Derot],"489758","2102428",288.000000000000000,"208"
K3264010,La Saunade a Pontaumur,"626203","2096769",112.000000000000000,"536"
K5200910,Le cher a Teillet-argenty,"615500","2138050",1600.000000000000000,"267"
K1284810,La Selle a la celle-en-Morvan [Polroy],"741420","2224470",138.000000000000000,"320"
P0115020,La Burande [ou ru de Burons] a Singles,"616100","2060400",85.000000000000000,"557"
L4220710,La creuse a Fresselines,"549387","2153257",1235.000000000000000,"212"
L5101810,La Gartempe a Folles [Bessines],"530170","2124131",570.000000000000000,"298"
P3021010,La Vezere a Bugeat,"567826","2067161",143.000000000000000,"675"
L0314010,La Vige a Saint-Martin-Sainte-catherine,"541225","2106498",134.000000000000000,"302"
K5183010,La Tardes a evaux-les-Bains,"608370","2131589",854.000000000000000,"334"
P8012510,La Dronne a champs-Romain [Le Manet],"476000","2058526",140.000000000000000,"150"
L0010610,La Vienne a Peyrelevade [Servieres],"574363","2078033",58.500000000000000,"618"
K3374710,Le Boublon Lagees a Fourilles,"666449","2138525",71.400000000000006,"255"
L4411710,La Petite creuse a Fresselines [Puy Rageaud],"550194","2154188",850.000000000000000,"218"
L5034010,L ardour a Folles [Forgefer],"534981","2122179",131.000000000000000,"318"
L4321710,La Petite creuse a Genouillac,"573550","2151950",558.000000000000000,"273"
